time,open,high,low,close,vwap,volume,count
1739049300,0.075105,0.075161,0.075067,0.075161,8.52041783,7,
1739050200,0.075137,0.075309,0.075137,0.075247,12.84234866,13,
1739051100,0.075297,0.075297,0.07524,0.075261,1.63503,3,
1739052000,0.075362,0.075445,0.075333,0.075445,12.38595728,5,
1739052900,0.075453,0.075494,0.075453,0.075494,20.26704842,7,
1739053800,0.075388,0.075424,0.075279,0.075424,1.38918,3,
1739054700,0.075495,0.075495,0.075482,0.075482,4.79865686,4,
1739055600,0.075504,0.075805,0.075504,0.075733,20.89700433,13,
1739056500,0.075715,0.075787,0.075708,0.075787,1.12993,5,
1739057400,0.075848,0.075863,0.075848,0.075863,1.48758935,2,
1739058300,0.0758,0.075865,0.075745,0.075754,104.6992269,8,
1739059200,0.075924,0.075924,0.075846,0.075846,5.92432,3,
1739060100,0.075723,0.075858,0.075723,0.075755,4.73252,4,
1739061000,0.075632,0.075632,0.075632,0.075632,0.06610958,1,
1739061900,0.075914,0.075977,0.075787,0.075977,322.96234882,10,
1739062800,0.075973,0.075973,0.075973,0.075973,1.20718703,1,
1739063700,0.075885,0.076011,0.075885,0.076011,43.06243113,9,
1739064600,0.075941,0.076033,0.075941,0.075965,56.84087941,5,
1739065500,0.076056,0.076316,0.076056,0.076197,10.53293934,16,
1739066400,0.07632,0.076364,0.076151,0.076364,2.99334525,3,
1739067300,0.076321,0.076356,0.076256,0.076356,1.01160308,4,
1739068200,0.076293,0.076293,0.076107,0.076107,3.86924328,3,
1739069100,0.076344,0.076422,0.076061,0.076344,112.37718854,12,
1739070000,0.07639,0.076426,0.076356,0.076399,34.08563774,6,
1739070900,0.076372,0.076625,0.076372,0.076625,1.64404181,5,
1739071800,0.07667,0.077353,0.076249,0.076249,369.65910481,49,
1739072700,0.076565,0.077224,0.076536,0.077224,14.73863553,15,
1739073600,0.077232,0.077232,0.076981,0.077082,53.34173246,7,
1739074500,0.077029,0.077079,0.076922,0.077046,54.01556807,8,
1739075400,0.077069,0.077069,0.076966,0.076966,48.70533325,2,
1739076300,0.077181,0.077181,0.077092,0.077092,2.46667,3,
1739077200,0.077173,0.077183,0.077139,0.077139,167.52412415,8,
1739078100,0.077184,0.077497,0.077184,0.077497,17.5350654,9,
1739079000,0.0775,0.07773,0.0775,0.07773,37.3272519,17,
1739079900,0.077771,0.077771,0.077466,0.077466,103.94298899,14,
1739080800,0.07746,0.07746,0.077366,0.077372,3.92932723,5,
1739081700,0.077189,0.077189,0.07706,0.07706,0.90412703,4,
1739082600,0.077042,0.077073,0.076919,0.077073,1.67315516,11,
1739083500,0.077065,0.077065,0.076896,0.0769,9.87200996,7,
1739084400,0.077042,0.077042,0.076802,0.076802,163.55664571,20,
1739085300,0.076742,0.076881,0.076741,0.076789,123.3040779,15,
1739086200,0.076705,0.076705,0.076705,0.076705,0.21,1,
1739087100,0.07665,0.076682,0.076582,0.076682,66.56890991,10,
1739088000,0.076605,0.076605,0.076605,0.076605,0.47429894,1,
1739088900,0.076657,0.076657,0.076463,0.076479,4.64198279,7,
1739089800,0.0764,0.076443,0.076358,0.076436,30.3940279,13,
1739090700,0.076443,0.076443,0.076148,0.076148,77.74155482,12,
1739091600,0.076188,0.076188,0.075839,0.075839,438.78010489,87,
1739092500,0.075905,0.07595,0.075881,0.075881,29.70969464,10,
1739093400,0.075827,0.075827,0.075808,0.07582,4.67049871,4,
1739094300,0.07611,0.07611,0.075913,0.075948,88.52711,6,
1739096100,0.075966,0.075966,0.075884,0.075884,56.3341358,7,
1739097000,0.075853,0.075853,0.075808,0.075811,47.29789678,6,
1739097900,0.07588,0.07588,0.07588,0.07588,1.85450264,1,
1739098800,0.0759,0.0759,0.075809,0.075809,23.86459287,4,
1739099700,0.075808,0.075983,0.075808,0.075971,14.38958878,7,
